respnum,intdate,gendr,q1,q2a,q2b,q3a,q3b,q3c,q3d,q3e,q3f,q3g,q4a,q4b,q4c,q4d,q4e,q5a,q5b,q5c,q5d,q5e,q5f,q6,q6a,q8a,q8b,q91,q92,q93,q94,q98,q99,q910,q911,q911a,q912,q10,q11a,q11b,q12,q131,q132,q133,q134,q138,q139,q1310,q13a0,q1311,q1312,q13a2,q14,q15,q16a,q16b,q16c,q17,q181,q182,q183,q184,q189,q1810,q1811,q1814,q1815,q19,q201,q202,q203,q204,q209,q2010,q2011,q2014,q2015,q2016,q21,q221,q222,q223,q224,q229,q2210,q2211,q2214,q2215,q2216,q23,q23aa,q23ab,q23a,q23b,q23c,q23d,q23ea,q23eb,q23ec,q23ed,q23ee,q23ef,q23e,q23e1,q23f,q23f1,q23fg,q23h,q24,q25b,q26,q28,q28y,q28m,q30a,q31,q32,q33,q34,q35,q37,wt,filter_$
21000652,20021002,1,1,0,5,0,.270416441319632,0,0,0,0,0,0,.162249864791779,.108166576527853,0,0,.270416441319632,0,0,0,0,0,8,5, , , , , , , , , , , , ,2,12,11,7,9,9,7,7,10,9,10, ,9,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2, ,7,7,8,7,7,9,9,9,9, ,1,7,2, , ,1,1,2,2,1,1, ,2,5,3,2,1,3,8,1.30376289531601,1
21000695,20021002,2,15,2, ,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,8,6, , , , , , , , , , , , ,2,6,1,8,97,10,9,9,9,8,7, ,8,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,97,1,6,8,10,6,7,8,10,10,7,10, ,2, ,2, , ,1,1,2,2,1,10, ,5,4,2,2,1,5,1,1.30856716553541,1
21000716,20021002,2,6,2, ,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,6,97, , , , , , , , , , , , ,2,30,3,10,10,10,9,10,10,8,8, ,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,8,9,5,5,8,1,10,9,10, ,2, ,1,8, ,1,2,2,1,1,4, ,5,5,7,1,1,1,97,.933254594546236,1
21000749,20021002,1,7,2, ,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,6,4, , , , , , , , , , , , ,2,15,2,7,7,6,6,7,7,7,6, ,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,1,5,7,7,4,7,7,5,7,6,7, ,2, ,2, , ,1,2,1,3,1,20, ,5,4,2,5,6,3,6,1.72922227818694,1
21000858,20021002,1,9,2, ,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,9,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,240,239, ,10,9,8,7,7,8,9,9,10,8, , , , , , , , , , , , , , , , , , , , , , ,8,1,10,10,9,10,10,8,10,10,10,10, ,2, ,2, , ,1,1,2,2,2, ,5,5,5,5,1,3,2,1,.741122528278133,0
21000095,20021003,2,15,12, ,12,0,0,0,0,0,0,0,6,6,0,0,10,0,2,0,0,0,7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,3,926, ,7,7,6,7,4,8,6,8,8,7, , , , , , , , , , , , , , , , , , , , , , ,8,1,6,7,7,5,3,8,8,9,8,8, ,1,8,2, , ,1,1,2,3,1,21, ,5,3,2,4,1,5,5,1.11511324198258,1
21000198,20021003,2,15,0,2,.108166576527853,0,0,0,0,0,0,0,0,.108166576527853,0,0,0,0,0,0,0,.108166576527853,6,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,22, , ,7,6,6,6,4,3,7,8,6,6, , , , , , , , , , , , , , , , , , , , , , ,7,2, ,4,4,7,4,8,7,8,4,5, ,2, ,1,5, ,1,1,1,3,1,3, ,4,3,4,1,1,2,2,1.30856716553541,0
21000232,20021003,1,9,10, ,10,0,0,0,0,0,0,5,0,5,0,0,10,0,0,0,0,0,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,229, , ,8,8,9,8,8,9,7,10,8,8, , , , , , , , , , , , , , , , , , , , , , ,4,2, ,4,6,8,7,5,6,7,5,7, ,2, ,2, , ,1,1,2,3,1,3, ,5,4,3,3,1,5,9,.572112999874763,1
21000245,20021003,2,15,10, ,10,0,0,0,0,0,0,4,0,0,4,2,10,0,0,0,0,0,8,6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,17,41, ,7,7,9,9,4,8,5,8,8,8, , , , , , , , , , , , , , , , , , , , , , ,9,1,7,6,6,8,6,8,8,9,7,7, ,2, ,2, , ,1,1,2,3,1,1, ,5,4,2,1,1,2,4,1.30856716553541,0
21000347,20021003,1,15,5, ,5,0,0,0,0,0,0,3,0,2,0,0,5,0,0,0,0,0,5,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,50, , ,10,10,10,10,10,8,10,10,10,10, , , , , , , , , , , , , , , , , , , , , , ,10,1,8,2,10,8,8,10,5,5,5,10, ,2, ,1,10, ,4,1,1,3,1,37, ,5,5,1,5,1,3,6,1.49881199847091,1
21000387,20021003,2,15,14, ,14,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,14,8,98, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,22,351, ,10,10,10,98,8,8,10,10,10,10, , , , , , , , , , , , , , , , , , , , , , ,5,1,10,5,10,97,10,98,98,10,98,10, ,1,1,2, , ,2,3,2,3,1,88, ,97,6,1,6,6,3,98,1.30496875774186,0
21000443,20021003,2,12,15, ,15,0,0,0,0,0,0,5,0,10,0,0,10,0,0,5,0,0,10,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,925,925, ,7,10,10,10,7,10,10,97,10,8, , , , , , , , , , , , , , , , , , , , , , ,10,1,8,7,4,97,7,10,10,10,10,10, ,1,8,2, , ,2,2,1,1,2, ,2,5,5,2,4,2,5,1,.294406773079841,0
21000504,20021003,2,14,12, ,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,335, , ,8,10,10,8,8,8,9,10,10,5, , , , , , , , , , , , , , , , , , , , , , ,8,2, ,10,10,9,2,10,5,9,10,10, ,2, ,2, , ,97,1,2,3,1,8, ,4,5,2,6,6,1,2,1.46978688280814,0
21000767,20021003,2,1,15, ,10,5,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,6,5, , , , , , , , , , , , ,3,10,3,10,9,6,5,8,9,10,10, ,10,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2, ,8,8,10,7,10,8,10,8,10, ,2, ,1,10, ,4,2,1,1,1,5, ,3,4,5,1,3,3,6,1.72066710758586,0
21000951,20021003,2,4,2, ,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,2, , , , , , , , , , , , ,2,8,2,9,5,9,5,9,9,9,5,1,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1,4,3,2,7,9,8,10,8,8,10, ,1,7,2, , ,1,3,1,1,1,53, ,5,5,2,5,2,3,98,1.46978688280814,1
21000961,20021003,1,1,0,6,0,.324499729583559,0,0,0,0,0,0,0,0,.324499729583559,0,0,0,0,.324499729583559,0,0,7,7, , , , , , , , , , , , ,3,4,13,8,8,7,7,8,7,8,7, ,7,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2, ,7,7,8,97,7,8,8,7,7, ,2, ,2, , ,6,2,1,3,1,16, ,4,4,1,4,1,2,98,1.36118995391388,1
21000281,20021004,2,15,1, ,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,16,9, ,8,8,6,7,7,97,7,7,8,7, , , , , , , , , , , , , , , , , , , , , , ,3,1,6,3,5,97,3,9,5,8,3,8, ,1,6,2, , ,1,1,1,3,1,2, ,4,2,2,3,1,5,9,1.11511324198258,0
21000320,20021004,2,9,2, ,2,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,242, , ,7,10,8,6,2,9,10,10,10,10, , , , , , , , , , , , , , , , , , , , , , ,8,1,10,5,10,8,7,97,7,10,8,10, ,1,8,2, , ,1,2,2,2,1,14, ,2,3,1,2,1,3,1,.611208183463647,0
21000422,20021004,1,1,2, ,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,9,7, , , , , , , , , , , , ,4,11,2,9,8,6,8,9,9,8,6, ,5,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1,7,8,9,8,9,8,9,8,10,10, ,1,10,2, , ,4,2,1,3,1,4, ,5,4,2,1,3,2,97,1.30376289531601,0
21000621,20021004,2,8,4, ,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,9,6, , , , , , , , , , , , ,1,17,6,10,10,8,7,8,9,10,8, ,10,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,2, ,9,8,10,6,9,10,8,6,9, ,1,10,2, , ,1,3,1,1,1,5, ,5,5,9,1,2,4,5,1.465512699707,1
21000758,20021004,2,14,0,4,0,.216333153055706,0,0,0,0,0,.108166576527853,.0540832882639265,.0540832882639265,0,0,.216333153055706,0,0,0,0,0,1,1, , , , , , , , , , , , ,1,20,4,4,98,2,6,1,9,8,1,2,3,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,1,1,4,2,10,6,10,5,10, ,1,8,2, , ,1,3,1,2,1,33, ,4,1,3,4,1,5,8,1.13036033611129,1
21000923,20021004,1,2,20, ,0,0,0,20,0,0,0,8,0,6,2,4,0,20,0,0,0,0,8,7, , , , , , , , , , , , ,2,29,21,9,8,10,10,5,9,9,6, ,8,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,8,10,9,8,9,3,8,9,6,9, ,2, ,1,9, ,2,2,1,1,1,5, ,3,4,4,1,3,4,97,.967156831087096,1
21001036,20021004,1,7,0,2,0,.108166576527853,0,0,0,0,0,0,0,0,0,.108166576527853,0,0,.108166576527853,0,0,0,5,5, , , , , , , , , , , , ,5,29,3,8,7,7,7,7,8,8,7, ,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,1,7,7,7,7,6,9,8,8,8,9, ,2, ,2, , ,1,2,1,3,3, , ,2,3,2,4,1,2,9,1.36118995391388,1
21001091,20021004,2,15,10, ,0,0,0,10,0,0,0,5,0,0,5,0,10,0,0,0,0,0,8,7, , , , , , , , , , , , ,4,4,3,10,8,8,8,8,10,8,7, ,97,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1,8,7,6,2,6,10,8,10,8,10, ,2, ,2, , ,1,1,2,3,1,25, ,5,5,1,4,1,3,3,1.11511324198258,0
21001141,20021004,2,15,0,3,.162249864791779,0,0,0,0,0,0,0,.108166576527853,.0540832882639265,0,0,.162249864791779,0,0,0,0,0,7,9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,10, , ,7,8,10,7,6,8,8,10,9,7, , , , , , , , , , , , , , , , , , , , , , ,4,2, ,6,6,8,8,8,3,8,7,8, ,2, ,2, , ,1,1,1,3,3, , ,4,4,2,3,1,5,98,1.11511324198258,0
21002007,20021004,2,9,14, ,14,0,0,0,0,0,0,7,0,7,0,0,14,0,0,0,0,0,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,240, , ,9,9,6,7,8,9,9,9,9,2, , , , , , , , , , , , , , , , , , , , , , ,4,2, ,7,7,4,3,7,5,7,7,7, ,2, ,2, , ,3,2,1,3,1,30, ,5,4,2,5,1,2,5,.490464369915274,1
21001364,20021005,1,15,2, ,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,7,5, , , , , , , , , , , , ,1,6,17,8,7,7,6,7,7,7,6, ,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,2, ,7,7,7,6,8,6,8,7,8, ,2, ,1,8, ,1,3,1,2,1,2, ,2,4,1,3,2,5,2,1.5123709334204,1
21001578,20021005,2,15,10, ,0,0,0,10,0,0,0,5,0,5,0,0,10,0,0,0,0,0,9,10, , , , , , , , , , , , ,1,6,11,10,98,5,1,10,10,10,5,2,1,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,8,8,3,8,1,10,8,10,10,10, ,2, ,1,10, ,95,2,1,3,1,30, ,5,4,1,4,1,5,6,1.11511324198258,0
21001598,20021005,1,2,2, ,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,7,9, , , , , , , , , , , , ,4,2,9,8,10,8,7,6,8,8,97, ,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,7,7,3,7,7,10,7,9,7,10, ,2, ,1,6, ,1,3,1,1,2, ,1,5,5,4,4,1,2,7,.735029581721438,1
21001839,20021005,2,9,14, ,12,0,2,0,0,0,0,0,4,4,4,2,0,0,6,6,0,2,6,10,4,4,8,5,4,3,3,7,3,97, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2, ,8,8,7,7,10,10,9,5,7, ,2, ,2, , ,2,1,2,1,1,21, ,5,4,1,3,3,4,1,.63883443512031,0
21002125,20021005,1,9,8, ,8,0,0,0,0,0,0,4,0,4,0,0,8,0,0,0,0,0,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,230, , ,8,7,8,7,8,8,8,9,9,5, , , , , , , , , , , , , , , , , , , , , , ,8,2, ,7,6,7,7,7,6,8,6,6, ,2, ,1,8, ,2,1,2,3,1,2, ,5,4,3,3,1,5,9,.572112999874763,0
21000384,20021006,1,1,3, ,0,0,0,3,0,0,0,0,1,1,0,1,0,0,2,0,1,0,7,5, , , , , , , , , , , , ,3,6,11,6,9,4,3,2,9,3,7, ,9,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1,8,6,3,8,5,7,3,8,7,6, ,2, ,1,8, ,2,2,1,1,1,1, ,5,4,4,1,3,1,6,1.30376289531601,0
21000552,20021006,2,15,3, ,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,7, , ,7,7,7,7,4,7,7,8,8,8, , , , , , , , , , , , , , , , , , , , , , ,7,2, ,6,6,7,7,10,8,10,7,9, ,2, ,2, , ,1,1,2,3,1,5, ,5,4,1,2,1,5,6,1.30856716553541,0
21001109,20021006,1,10,1, ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,5, , , , , , , , , , , , ,5,1,30,8,97,8,8,5,8,8,8, ,9,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2, ,97,8,9,97,10,9,10,10,10, ,1,10,1,10, ,2,3,1,3,3, , ,4,4,5,3,1,2,3,.735029581721438,0
21001140,20021006,1,15,0,4,.108166576527853,0,0,.108166576527853,0,0,0,0,0,0,0,.216333153055706,0,0,0,0,.216333153055706,0,7,6, , , , , , , , , , , , ,5,3,5,9,97,9,8,9,9,9,97, ,97,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,2, ,6,5,6,7,9,7,9,6,10, ,2, ,1,8, ,4,1,1,3,3, , ,4,6,1,4,1,3,98,1.5123709334204,0
21001386,20021006,2,2,2, ,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,6,4, , , , , , , , , , , , ,4,26,4,9,8,7,7,8,7,10,10, ,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,4,6,6,7,8,2,8,10,8,10, ,2, ,1,10, ,1,3,1,2,2, ,2,3,4,2,4,1,4,6,.55794390481619,1
21001483,20021006,2,15,10, ,10,0,0,0,0,0,0,5,2,3,0,0,0,10,0,0,0,0,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,49,144, ,9,9,8,8,8,7,7,8,9,9, , , , , , , , , , , , , , , , , , , , , , ,6,1,7,8,8,9,7,9,8,8,8,9, ,1,8,1,7, ,2,2,2,1,2, ,2,5,4,6,1,3,4,97,1.30856716553541,1
21001794,20021006,2,15,4, ,2,2,0,0,0,0,0,1,0,3,0,0,2,0,0,2,0,0,8,8, , , , , , , , , , , , ,3,1,24,8,97,8,8,5,8,10,8, ,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2,5,8,8,8,5,8,5,8, ,1,1,1,5, ,1,1,2,2,1,25, ,4,4,2,3,1,4,5,1.11511324198258,1
21001842,20021006,2,1,12, ,2,10,0,0,0,0,0,12,0,0,0,0,0,10,0,0,2,0,5,5, , , , , , , , , , , , ,1,24,28,7,5,5,6,7,7,4,5,2,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,5,3,3,5,5,10,8,10,8,8, ,2, ,1,8, ,2,1,2,3,1,7, ,4,4,2,2,3,3,2,1.72066710758586,0
21001950,20021006,1,15,15, ,15,0,0,0,0,0,0,4,6,0,5,0,0,0,15,0,0,0,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,5,16, ,7,8,10,10,10,10,10,10,10,10, , , , , , , , , , , , , , , , , , , , , , ,8,1,8,8,8,10,6,10,10,8,10,8, ,2, ,1,8, ,6,1,1,1,2, ,8,95,5,2,6,6,2,98,1.49881199847091,0
21002010,20021006,1,15,1, ,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,17, , ,8,10,10,9,8,8,9,10,10,8, , , , , , , , , , , , , , , , , , , , , , ,97,2, ,8,7,7,7,6,9,7,8,8, ,2, ,1,8, ,4,1,2,2,1,5, ,5,4,2,2,3,5,1,1.67642018034218,0
21003014,20021006,2,9,2, ,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,9,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,240, , ,8,9,7,7,5,9,8,9,8,9, , , , , , , , , , , , , , , , , , , , , , ,4,2, ,5,8,8,7,4,7,7,7,6, ,2, ,2, , ,1,2,1,1,3, , ,3,4,3,2,1,5,9,.611208183463647,0
